1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,-0.0061,-0.0126
,0.0320,0.0012,0.1317,-0.0140
,0.0400,0.0031,0.2606,-0.0137
,0.0460,0.0055,0.3886,-0.0132
,0.0520,0.0088,0.5357,-0.0127
,0.0570,0.0122,0.6833,-0.0122
,0.0620,0.0161,0.8383,-0.0116
,0.0660,0.0194,0.9682,-0.0112
,0.0700,0.0230,1.1085,-0.0107
,0.0740,0.0266,1.2548,-0.0102
,0.0780,0.0303,1.3909,-0.0097
,0.0820,0.0341,1.5358,-0.0092
,0.0860,0.0378,1.6939,-0.0088
,0.0900,0.0416,1.8561,-0.0083
,0.0930,0.0444,1.9824,-0.0080
,0.0960,0.0472,2.1167,-0.0077
,0.0990,0.0500,2.2573,-0.0073
,0.1020,0.0528,2.3906,-0.0069
,0.1050,0.0556,2.5182,-0.0064
,0.1080,0.0585,2.6450,-0.0059
,0.1110,0.0613,2.7741,-0.0052
,0.1140,0.0641,2.9041,-0.0045
,0.1170,0.0670,3.0414,-0.0038
,0.1200,0.0699,3.1768,-0.0030
,0.1230,0.0728,3.3086,-0.0022
,0.1260,0.0758,3.4347,-0.0014
,0.1290,0.0788,3.5619,-0.0005
,0.1320,0.0818,3.6921,0.0004
,0.1350,0.0848,3.8295,0.0014
,0.1380,0.0879,3.9662,0.0024
,0.1410,0.0910,4.1001,0.0034
,0.1440,0.0941,4.2273,0.0044
,0.1470,0.0972,4.3551,0.0055
,0.1500,0.1004,4.4827,0.0067
,0.1530,0.1036,4.6163,0.0078
,0.1560,0.1068,4.7512,0.0090
,0.1590,0.1100,4.8838,0.0103
,0.1620,0.1132,5.0106,0.0116
,0.1650,0.1164,5.1430,0.0128
,0.1680,0.1196,5.2797,0.0141
,0.1710,0.1228,5.4224,0.0155
,0.1740,0.1260,5.5621,0.0169
,0.1770,0.1292,5.6992,0.0184
,0.1800,0.1324,5.8303,0.0200
,0.1830,0.1356,5.9640,0.0216
,0.1860,0.1387,6.1083,0.0233
,0.1890,0.1419,6.2609,0.0252
,0.1920,0.1450,6.4049,0.0271
,0.1950,0.1481,6.5377,0.0291
,0.1980,0.1512,6.6724,0.0311
,0.2010,0.1543,6.8081,0.0330
,0.2040,0.1574,6.9357,0.0349
,0.2080,0.1615,7.0954,0.0375
,0.2120,0.1655,7.2598,0.0400
,0.2150,0.1685,7.3853,0.0418
,0.2180,0.1716,7.5172,0.0435
,0.2210,0.1746,7.6453,0.0452
,0.2250,0.1786,7.8082,0.0476
,0.2280,0.1816,7.9353,0.0498
,0.2310,0.1846,8.0654,0.0526
,0.2350,0.1886,8.2287,0.0572
,0.2390,0.1926,8.3811,0.0626
,0.2430,0.1966,8.5428,0.0684
,0.2460,0.1996,8.6716,0.0734
,0.2490,0.2025,8.8067,0.0790
,0.2520,0.2055,8.9415,0.0851
,0.2550,0.2085,9.0765,0.0914
,0.2580,0.2115,9.2128,0.0980
,0.2610,0.2145,9.3425,0.1047
,0.2640,0.2175,9.4727,0.1113
,0.2670,0.2205,9.6056,0.1179
,0.2710,0.2245,9.7656,0.1265
,0.2750,0.2285,9.9139,0.1349
,0.2790,0.2326,10.0754,0.1428
,0.2820,0.2356,10.2045,0.1482
