1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,0.1325,0.0005
,0.0460,0.0050,0.2727,-0.0013
,0.0530,0.0086,0.4168,-0.0014
,0.0580,0.0119,0.5419,-0.0014
,0.0630,0.0157,0.6810,-0.0013
,0.0680,0.0198,0.8305,-0.0011
,0.0730,0.0242,0.9746,-0.0007
,0.0770,0.0278,1.1052,-0.0002
,0.0820,0.0323,1.2510,0.0006
,0.0870,0.0368,1.4034,0.0016
,0.0920,0.0414,1.5582,0.0028
,0.0960,0.0450,1.6912,0.0038
,0.1000,0.0486,1.8400,0.0049
,0.1040,0.0523,1.9919,0.0060
,0.1080,0.0559,2.1498,0.0071
,0.1110,0.0587,2.2752,0.0080
,0.1150,0.0624,2.4303,0.0092
,0.1190,0.0662,2.5685,0.0104
,0.1230,0.0701,2.7052,0.0117
,0.1270,0.0740,2.8466,0.0130
,0.1310,0.0780,2.9855,0.0143
,0.1350,0.0820,3.1256,0.0156
,0.1390,0.0862,3.2675,0.0170
,0.1430,0.0904,3.3959,0.0185
,0.1470,0.0946,3.5311,0.0200
,0.1510,0.0989,3.6870,0.0216
,0.1550,0.1032,3.8469,0.0233
,0.1590,0.1075,4.0097,0.0253
,0.1630,0.1119,4.1733,0.0297
,0.1670,0.1162,4.3350,0.0367
,0.1710,0.1206,4.4839,0.0453
,0.1750,0.1249,4.6304,0.0546
,0.1790,0.1293,4.7765,0.0643
,0.1830,0.1336,4.9118,0.0740
,0.1870,0.1379,5.0431,0.0831
,0.1910,0.1421,5.1925,0.0924
,0.1950,0.1464,5.3451,0.1028
,0.1990,0.1506,5.4892,0.1141
,0.2030,0.1547,5.6445,0.1262
,0.2070,0.1589,5.7936,0.1387
,0.2110,0.1630,5.9425,0.1496
,0.2150,0.1671,6.0995,0.1587
,0.2190,0.1711,6.2652,0.1669
,0.2230,0.1752,6.4239,0.1743
,0.2260,0.1782,6.5509,0.1793
,0.2290,0.1812,6.6916,0.1839
,0.2320,0.1842,6.8330,0.1879
,0.2350,0.1872,6.9642,0.1915
,0.2380,0.1902,7.0913,0.1948
,0.2420,0.1942,7.2393,0.1985
,0.2460,0.1981,7.3770,0.2014
,0.2500,0.2021,7.5178,0.2037
,0.2540,0.2061,7.6661,0.2052
,0.2580,0.2101,7.8272,0.2062
,0.2620,0.2140,7.9823,0.2066
,0.2660,0.2180,8.1139,0.2067
,0.2700,0.2220,8.2425,0.2067
,0.2740,0.2260,8.3732,0.2069
,0.2780,0.2299,8.5154,0.2073
,0.2820,0.2339,8.6602,0.2082
,0.2860,0.2379,8.8038,0.2097
,0.2900,0.2419,8.9346,0.2118
,0.2950,0.2469,9.0873,0.2153
,0.2990,0.2509,9.2208,0.2184
,0.3030,0.2549,9.3544,0.2217
,0.3070,0.2589,9.5061,0.2249
,0.3110,0.2629,9.6640,0.2281
,0.3150,0.2670,9.8270,0.2311
,0.3190,0.2710,9.9766,0.2340
,0.3230,0.2750,10.1161,0.2370
,0.3270,0.2790,10.2651,0.2403
,0.3310,0.2830,10.4241,0.2439
,0.3350,0.2871,10.5796,0.2477
,0.3390,0.2911,10.7348,0.2517
,0.3430,0.2951,10.8683,0.2563
,0.3480,0.3001,11.0207,0.2625
,0.3520,0.3042,11.1498,0.2676
,0.3560,0.3082,11.2881,0.2726
,0.3600,0.3122,11.4160,0.2774
,0.3640,0.3162,11.5517,0.2820
,0.3680,0.3202,11.7097,0.2867
,0.3720,0.3243,11.8724,0.2916
,0.3760,0.3283,12.0164,0.2965
,0.3800,0.3323,12.1643,0.3015
,0.3840,0.3363,12.3241,0.3065
,0.3880,0.3403,12.4863,0.3116
,0.3920,0.3443,12.6472,0.3166
,0.3960,0.3483,12.8010,0.3216
,0.4000,0.3523,12.9478,0.3265
,0.4050,0.3573,13.1017,0.3332
,0.4100,0.3623,13.2482,0.3399
,0.4150,0.3673,13.3871,0.3465
,0.4200,0.3723,13.5386,0.3529
,0.4250,0.3773,13.6874,0.3594
,0.4300,0.3823,13.8435,0.3661
,0.4340,0.3863,13.9706,0.3715
,0.4390,0.3913,14.1244,0.3784
,0.4430,0.3953,14.2530,0.3839
,0.4470,0.3993,14.3846,0.3892
,0.4510,0.4034,14.5212,0.3941
,0.4550,0.4074,14.6666,0.3987
,0.4590,0.4114,14.8086,0.4026
