1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,0.0715,-0.0010
,0.0410,0.0033,0.2001,-0.0008
,0.0480,0.0062,0.3302,-0.0007
,0.0540,0.0097,0.4687,-0.0006
,0.0590,0.0132,0.6226,-0.0004
,0.0630,0.0163,0.7732,-0.0002
,0.0670,0.0197,0.9297,0.0002
,0.0710,0.0232,1.0822,0.0007
,0.0750,0.0268,1.2344,0.0012
,0.0790,0.0304,1.3911,0.0017
,0.0830,0.0341,1.5430,0.0022
,0.0870,0.0378,1.6907,0.0027
,0.0910,0.0415,1.8364,0.0032
,0.0950,0.0452,1.9745,0.0037
,0.0990,0.0489,2.1249,0.0042
,0.1030,0.0526,2.2869,0.0049
,0.1060,0.0554,2.4138,0.0055
,0.1090,0.0582,2.5438,0.0061
,0.1120,0.0611,2.6721,0.0068
,0.1160,0.0649,2.8290,0.0079
,0.1200,0.0687,2.9879,0.0090
,0.1230,0.0716,3.1148,0.0100
,0.1260,0.0746,3.2426,0.0110
,0.1290,0.0776,3.3703,0.0120
,0.1320,0.0806,3.4956,0.0130
,0.1360,0.0847,3.6567,0.0145
,0.1390,0.0878,3.7821,0.0156
,0.1420,0.0909,3.9102,0.0168
,0.1460,0.0951,4.0712,0.0184
,0.1500,0.0994,4.2215,0.0200
,0.1540,0.1036,4.3755,0.0217
,0.1580,0.1079,4.5330,0.0235
,0.1620,0.1123,4.6858,0.0257
,0.1660,0.1166,4.8361,0.0291
,0.1700,0.1209,4.9899,0.0345
,0.1740,0.1252,5.1369,0.0422
,0.1780,0.1295,5.2851,0.0527
,0.1820,0.1337,5.4514,0.0651
,0.1850,0.1369,5.5851,0.0746
,0.1880,0.1401,5.7193,0.0836
,0.1910,0.1432,5.8598,0.0926
,0.1940,0.1464,6.0154,0.1018
,0.1970,0.1495,6.1715,0.1111
,0.2000,0.1526,6.3305,0.1200
,0.2030,0.1557,6.4879,0.1284
,0.2060,0.1588,6.6353,0.1358
,0.2090,0.1619,6.7756,0.1420
,0.2120,0.1649,6.9142,0.1474
,0.2150,0.1680,7.0445,0.1524
,0.2190,0.1720,7.2072,0.1582
,0.2230,0.1760,7.3629,0.1630
,0.2270,0.1800,7.5218,0.1671
,0.2310,0.1841,7.6744,0.1703
,0.2350,0.1880,7.8133,0.1728
,0.2390,0.1920,7.9435,0.1747
,0.2430,0.1960,8.0770,0.1762
,0.2470,0.2000,8.2226,0.1776
,0.2510,0.2040,8.3815,0.1792
,0.2550,0.2079,8.5474,0.1809
,0.2590,0.2119,8.7088,0.1828
,0.2620,0.2149,8.8365,0.1843
,0.2650,0.2178,8.9764,0.1860
,0.2680,0.2208,9.1212,0.1879
,0.2710,0.2238,9.2497,0.1901
,0.2750,0.2278,9.4075,0.1933
,0.2790,0.2317,9.5576,0.1965
,0.2830,0.2357,9.7055,0.2000
,0.2870,0.2397,9.8624,0.2036
,0.2910,0.2437,10.0174,0.2071
,0.2950,0.2477,10.1732,0.2105
,0.2990,0.2517,10.3357,0.2137
,0.3030,0.2557,10.4994,0.2168
,0.3070,0.2597,10.6671,0.2198
,0.3100,0.2627,10.7963,0.2220
,0.3140,0.2667,10.9570,0.2247
,0.3180,0.2707,11.1006,0.2273
,0.3220,0.2748,11.2531,0.2297
,0.3260,0.2788,11.4082,0.2320
,0.3300,0.2828,11.5702,0.2342
,0.3330,0.2858,11.6966,0.2358
,0.3370,0.2898,11.8580,0.2382
,0.3410,0.2939,12.0119,0.2408
,0.3450,0.2979,12.1647,0.2436
,0.3490,0.3019,12.3129,0.2464
,0.3530,0.3059,12.4508,0.2495
,0.3570,0.3099,12.5884,0.2527
,0.3620,0.3150,12.7432,0.2571
,0.3660,0.3190,12.8783,0.2607
,0.3700,0.3230,13.0315,0.2642
,0.3740,0.3270,13.1904,0.2677
,0.3780,0.3310,13.3565,0.2711
,0.3820,0.3350,13.5231,0.2745
,0.3850,0.3381,13.6529,0.2771
,0.3880,0.3411,13.7781,0.2795
,0.3920,0.3451,13.9353,0.2827
,0.3960,0.3491,14.0927,0.2862
,0.4000,0.3531,14.2477,0.2898
,0.4040,0.3571,14.3899,0.2938
,0.4080,0.3611,14.5292,0.2981
,0.4120,0.3651,14.6673,0.3026
,0.4160,0.3691,14.7953,0.3072
,0.4200,0.3731,14.9248,0.3118
,0.4240,0.3771,15.0622,0.3166
,0.4280,0.3811,15.2103,0.3216
,0.4320,0.3851,15.3618,0.3266
,0.4360,0.3891,15.5222,0.3317
,0.4400,0.3931,15.6825,0.3369
,0.4430,0.3961,15.8080,0.3408
,0.4460,0.3991,15.9389,0.3446
,0.4490,0.4021,16.0687,0.3483
,0.4520,0.4051,16.1976,0.3520
,0.4560,0.4091,16.3494,0.3566
,0.4600,0.4131,16.4925,0.3610
,0.4640,0.4171,16.6350,0.3653
