Specimen properties : Length,Specimen properties : Thickness,Specimen properties : Width
(mm),(mm),(mm)
"80.00","4.00","10.00"


1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","0.0604","-0.0012"
"","0.1430","0.0054","0.1906","0.0003"
"","0.1620","0.0074","0.3165","0.0001"
"","0.1900","0.0111","0.4474","0.0000"
"","0.2050","0.0131","0.5766","0.0004"
"","0.2350","0.0169","0.7060","0.0021"
"","0.2520","0.0189","0.8365","0.0033"
"","0.2650","0.0203","0.9659","0.0041"
"","0.2900","0.0229","1.0930","0.0055"
"","0.3760","0.0317","1.2209","0.0136"
"","0.3930","0.0334","1.3501","0.0152"
"","0.4120","0.0352","1.4785","0.0173"
"","0.4440","0.0384","1.6047","0.0185"
"","0.4600","0.0400","1.7336","0.0190"
"","0.5070","0.0448","1.8608","0.0233"
"","0.5340","0.0474","1.9898","0.0278"
"","0.5760","0.0516","2.1164","0.0320"
"","0.6100","0.0551","2.2456","0.0346"
"","0.6240","0.0565","2.3740","0.0358"
"","0.6390","0.0580","2.5033","0.0375"
"","0.6960","0.0637","2.6305","0.0410"
"","0.7150","0.0656","2.7557","0.0431"
"","0.7610","0.0702","2.8842","0.0513"
"","0.7860","0.0726","3.0095","0.0591"
"","0.8320","0.0774","3.1395","0.0588"
"","0.8490","0.0791","3.2662","0.0598"
"","0.8790","0.0820","3.3914","0.0624"
"","0.8960","0.0836","3.5205","0.0641"
"","0.9390","0.0880","3.6479","0.0685"
"","0.9730","0.0913","3.7751","0.0717"
"","1.0060","0.0946","3.9035","0.0732"
"","1.0630","0.1004","4.0298","0.0798"
"","1.0850","0.1025","4.1580","0.0833"
"","1.1070","0.1047","4.2858","0.0858"
"","1.1270","0.1067","4.4174","0.0879"
"","1.1540","0.1094","4.5475","0.0908"
"","1.1860","0.1127","4.6745","0.0932"
"","1.2030","0.1144","4.8003","0.0948"
"","1.2390","0.1179","4.9296","0.0989"
"","1.2970","0.1238","5.0615","0.1051"
"","1.3280","0.1268","5.1872","0.1076"
"","1.3580","0.1298","5.3133","0.1091"
"","1.3830","0.1324","5.4408","0.1102"
"","1.4450","0.1386","5.5676","0.1171"
"","1.4650","0.1406","5.6933","0.1198"
"","1.4880","0.1429","5.8234","0.1233"
"","1.5580","0.1498","5.9524","0.1307"
"","1.5740","0.1514","6.0790","0.1326"
"","1.6080","0.1548","6.2065","0.1361"
"","1.6320","0.1573","6.3340","0.1381"
"","1.6540","0.1594","6.4595","0.1401"
"","1.7160","0.1656","6.5869","0.1488"
"","1.7320","0.1672","6.7169","0.1504"
"","1.7480","0.1689","6.8458","0.1516"
"","1.7660","0.1706","6.9745","0.1537"
"","1.8150","0.1755","7.1016","0.1576"
"","1.8690","0.1810","7.2271","0.1608"
"","1.8870","0.1828","7.3574","0.1625"
"","1.9100","0.1850","7.4829","0.1642"
"","1.9480","0.1888","7.6119","0.1695"
"","1.9910","0.1932","7.7399","0.1786"
"","2.0100","0.1951","7.8720","0.1819"
"","2.0230","0.1964","8.0033","0.1832"
"","2.0940","0.2035","8.1353","0.1908"
"","2.1330","0.2073","8.2615","0.1946"
"","2.1490","0.2088","8.3963","0.1960"
"","2.1660","0.2105","8.5228","0.1970"
"","2.2150","0.2156","8.6505","0.2015"
"","2.2770","0.2217","8.7779","0.2066"
"","2.2970","0.2237","8.9029","0.2085"
"","2.3260","0.2267","9.0288","0.2128"
"","2.3510","0.2291","9.1554","0.2154"
"","2.4090","0.2350","9.2829","0.2203"
"","2.4420","0.2384","9.4090","0.2260"
"","2.4660","0.2407","9.5427","0.2296"
"","2.4810","0.2421","9.6699","0.2312"
"","2.5260","0.2467","9.7987","0.2351"
"","2.5510","0.2493","9.9280","0.2381"
"","2.5770","0.2518","10.0544","0.2420"
"","2.6130","0.2554","10.1816","0.2460"
"","2.6680","0.2610","10.3091","0.2537"
"","2.7200","0.2660","10.4399","0.2592"
"","2.7480","0.2688","10.5672","0.2605"
"","2.7720","0.2713","10.6979","0.2622"
"","2.7880","0.2729","10.8256","0.2636"
"","2.8020","0.2743","10.9520","0.2651"
"","2.8670","0.2807","11.0801","0.2698"
"","2.8850","0.2825","11.2054","0.2710"
"","2.9120","0.2853","11.3316","0.2728"
"","2.9410","0.2881","11.4573","0.2748"
"","3.0220","0.2963","11.5909","0.2838"
"","3.0390","0.2980","11.7225","0.2852"
"","3.0570","0.2998","11.8513","0.2872"
"","3.1400","0.3081","11.9769","0.2942"
"","3.1740","0.3115","12.1044","0.2992"
"","3.1970","0.3137","12.2325","0.3022"
"","3.2210","0.3162","12.3623","0.3047"
"","3.2510","0.3193","12.4909","0.3063"
"","3.3160","0.3256","12.6162","0.3115"
"","3.3310","0.3271","12.7416","0.3129"
"","3.3570","0.3298","12.8716","0.3150"
"","3.3770","0.3317","12.9999","0.3157"
"","3.4150","0.3355","13.1269","0.3183"
"","3.4740","0.3415","13.2539","0.3232"
"","3.5010","0.3441","13.3826","0.3256"
"","3.5330","0.3473","13.5134","0.3293"
"","3.5810","0.3522","13.6386","0.3331"
"","3.6160","0.3557","13.7638","0.3362"
"","3.6380","0.3578","13.8888","0.3381"
"","3.6680","0.3609","14.0176","0.3409"
"","3.6830","0.3624","14.1431","0.3422"
"","3.7450","0.3685","14.2718","0.3477"
"","3.7820","0.3722","14.3975","0.3508"
"","3.8080","0.3749","14.5235","0.3542"
"","3.8810","0.3822","14.6502","0.3623"
"","3.9100","0.3851","14.7827","0.3642"
"","3.9480","0.3889","14.9136","0.3663"
"","3.9600","0.3900","15.0439","0.3674"
"","3.9720","0.3912","15.1770","0.3683"
"","4.0290","0.3969","15.3035","0.3728"
"","4.0790","0.4019","15.4290","0.3779"
"","4.1060","0.4046","15.5560","0.3800"
"","4.1400","0.4080","15.6814","0.3824"
"","4.1560","0.4097","15.8069","0.3834"
"","4.2300","0.4170","15.9362","0.3913"
"","4.2600","0.4201","16.0619","0.3942"
"","4.2790","0.4220","16.1873","0.3961"
"","4.3320","0.4272","16.3146","0.4001"
