Specimen properties : Length,Specimen properties : Thickness,Specimen properties : Width
(mm),(mm),(mm)
"80.00","4.00","10.00"


1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","-0.1770","0.0012"
"","0.0260","0.0004","-0.0358","0.0007"
"","0.0330","0.0012","0.0937","0.0006"
"","0.0390","0.0025","0.2204","0.0004"
"","0.0450","0.0045","0.3625","0.0003"
"","0.0510","0.0074","0.4971","0.0005"
"","0.0580","0.0119","0.6248","0.0009"
"","0.0640","0.0165","0.7545","0.0012"
"","0.0700","0.0217","0.9043","0.0017"
"","0.0740","0.0252","1.0411","0.0022"
"","0.0780","0.0289","1.1787","0.0026"
"","0.0820","0.0326","1.3222","0.0031"
"","0.0860","0.0363","1.4669","0.0037"
"","0.0900","0.0400","1.5975","0.0043"
"","0.0940","0.0437","1.7307","0.0050"
"","0.0980","0.0475","1.8599","0.0058"
"","0.1020","0.0512","2.0009","0.0066"
"","0.1060","0.0549","2.1441","0.0075"
"","0.1100","0.0586","2.2846","0.0085"
"","0.1140","0.0624","2.4189","0.0096"
"","0.1180","0.0662","2.5498","0.0108"
"","0.1220","0.0701","2.6922","0.0120"
"","0.1260","0.0740","2.8297","0.0133"
"","0.1300","0.0780","2.9633","0.0145"
"","0.1340","0.0820","3.0950","0.0158"
"","0.1380","0.0861","3.2428","0.0170"
"","0.1420","0.0903","3.4077","0.0182"
"","0.1450","0.0934","3.5333","0.0192"
"","0.1490","0.0976","3.6993","0.0206"
"","0.1520","0.1008","3.8268","0.0216"
"","0.1550","0.1040","3.9540","0.0227"
"","0.1590","0.1083","4.1180","0.0241"
"","0.1630","0.1126","4.2705","0.0256"
"","0.1670","0.1169","4.4250","0.0274"
"","0.1710","0.1212","4.5761","0.0299"
"","0.1750","0.1255","4.7317","0.0341"
"","0.1790","0.1298","4.8851","0.0408"
"","0.1830","0.1340","5.0357","0.0495"
"","0.1870","0.1383","5.1927","0.0596"
"","0.1910","0.1425","5.3357","0.0704"
"","0.1960","0.1477","5.4888","0.0842"
"","0.2000","0.1519","5.6216","0.0950"
"","0.2040","0.1560","5.7589","0.1060"
"","0.2080","0.1601","5.9086","0.1166"
"","0.2120","0.1642","6.0589","0.1271"
"","0.2160","0.1683","6.2267","0.1368"
"","0.2190","0.1713","6.3579","0.1431"
"","0.2220","0.1744","6.4868","0.1487"
"","0.2250","0.1774","6.6187","0.1537"
"","0.2280","0.1804","6.7505","0.1581"
"","0.2310","0.1834","6.8788","0.1619"
"","0.2340","0.1864","7.0171","0.1652"
"","0.2370","0.1894","7.1425","0.1682"
"","0.2410","0.1934","7.2884","0.1716"
"","0.2450","0.1973","7.4220","0.1745"
"","0.2490","0.2013","7.5534","0.1771"
"","0.2540","0.2063","7.7080","0.1800"
"","0.2580","0.2103","7.8416","0.1823"
"","0.2620","0.2142","7.9733","0.1848"
"","0.2670","0.2192","8.1196","0.1886"
"","0.2720","0.2242","8.2687","0.1927"
"","0.2770","0.2292","8.4156","0.1972"
"","0.2820","0.2342","8.5553","0.2020"
"","0.2870","0.2392","8.7023","0.2067"
"","0.2920","0.2442","8.8625","0.2113"
"","0.2960","0.2482","9.0184","0.2152"
"","0.3000","0.2522","9.1755","0.2192"
"","0.3040","0.2562","9.3375","0.2234"
"","0.3070","0.2592","9.4704","0.2266"
"","0.3100","0.2622","9.5981","0.2299"
"","0.3140","0.2662","9.7598","0.2346"
"","0.3180","0.2702","9.9107","0.2395"
"","0.3220","0.2742","10.0518","0.2445"
"","0.3260","0.2782","10.1795","0.2494"
"","0.3310","0.2832","10.3378","0.2552"
"","0.3350","0.2872","10.4864","0.2596"
"","0.3390","0.2913","10.6260","0.2641"
"","0.3430","0.2953","10.7612","0.2687"
"","0.3470","0.2993","10.9014","0.2734"
"","0.3510","0.3033","11.0452","0.2781"
"","0.3550","0.3073","11.1737","0.2829"
"","0.3600","0.3123","11.3213","0.2890"
"","0.3640","0.3163","11.4535","0.2942"
"","0.3680","0.3203","11.5929","0.2996"
"","0.3720","0.3243","11.7339","0.3051"
"","0.3760","0.3283","11.8665","0.3103"
"","0.3800","0.3323","12.0018","0.3154"
"","0.3840","0.3363","12.1370","0.3201"
"","0.3880","0.3403","12.2697","0.3243"
"","0.3920","0.3443","12.3952","0.3279"
"","0.3960","0.3483","12.5247","0.3312"
"","0.4000","0.3523","12.6557","0.3341"
"","0.4040","0.3563","12.7875","0.3370"
"","0.4080","0.3603","12.9276","0.3399"
"","0.4120","0.3643","13.0727","0.3430"
"","0.4160","0.3683","13.2249","0.3461"
"","0.4200","0.3723","13.3825","0.3490"
"","0.4240","0.3763","13.5391","0.3517"
"","0.4280","0.3803","13.6806","0.3543"
"","0.4320","0.3844","13.8112","0.3568"
"","0.4360","0.3884","13.9387","0.3592"
"","0.4400","0.3924","14.0702","0.3614"
"","0.4450","0.3974","14.2258","0.3639"
"","0.4490","0.4014","14.3523","0.3658"
"","0.4540","0.4064","14.4978","0.3680"
"","0.4590","0.4114","14.6440","0.3702"
"","0.4640","0.4164","14.7971","0.3724"
"","0.4690","0.4214","14.9506","0.3751"
"","0.4730","0.4254","15.0807","0.3775"
"","0.4770","0.4294","15.2101","0.3801"
"","0.4810","0.4334","15.3520","0.3827"
"","0.4850","0.4374","15.5006","0.3852"
"","0.4890","0.4414","15.6385","0.3879"
"","0.4940","0.4464","15.7909","0.3916"
"","0.4990","0.4514","15.9355","0.3956"
"","0.5040","0.4564","16.0806","0.3999"
"","0.5080","0.4604","16.2124","0.4033"
"","0.5120","0.4644","16.3478","0.4068"
"","0.5160","0.4684","16.4899","0.4103"
"","0.5200","0.4724","16.6362","0.4140"
"","0.5240","0.4764","16.7915","0.4180"
"","0.5280","0.4804","16.9518","0.4223"
"","0.5320","0.4844","17.1085","0.4267"
"","0.5360","0.4884","17.2664","0.4309"
"","0.5400","0.4924","17.4171","0.4350"
"","0.5440","0.4964","17.5572","0.4389"
"","0.5480","0.5003","17.6841","0.4426"
"","0.5530","0.5053","17.8275","0.4470"
"","0.5580","0.5103","17.9664","0.4510"
"","0.5630","0.5153","18.1013","0.4551"
"","0.5680","0.5203","18.2293","0.4594"
"","0.5730","0.5253","18.3590","0.4640"
"","0.5780","0.5303","18.5120","0.4687"
"","0.5820","0.5343","18.6431","0.4725"
"","0.5860","0.5383","18.7753","0.4766"
"","0.5900","0.5423","18.9097","0.4808"
"","0.5940","0.5463","19.0532","0.4852"
"","0.5980","0.5503","19.1976","0.4899"
"","0.6020","0.5543","19.3389","0.4947"
"","0.6060","0.5583","19.4785","0.4997"
"","0.6100","0.5623","19.6241","0.5048"
"","0.6140","0.5663","19.7644","0.5100"
"","0.6180","0.5703","19.8960","0.5152"
"","0.6220","0.5743","20.0320","0.5207"
"","0.6260","0.5783","20.1795","0.5263"
"","0.6300","0.5823","20.3213","0.5319"
"","0.6350","0.5873","20.4684","0.5389"
"","0.6400","0.5923","20.6145","0.5457"
"","0.6450","0.5973","20.7563","0.5524"
"","0.6500","0.6024","20.9018","0.5592"
"","0.6540","0.6064","21.0281","0.5648"
"","0.6580","0.6104","21.1595","0.5704"
"","0.6620","0.6144","21.2990","0.5758"
"","0.6660","0.6184","21.4368","0.5807"
"","0.6700","0.6224","21.5662","0.5854"
"","0.6750","0.6274","21.7189","0.5913"
"","0.6790","0.6314","21.8446","0.5961"
"","0.6840","0.6364","21.9985","0.6023"
"","0.6890","0.6414","22.1474","0.6087"
"","0.6940","0.6464","22.2936","0.6154"
"","0.6990","0.6514","22.4323","0.6222"
"","0.7040","0.6564","22.5807","0.6287"
"","0.7090","0.6614","22.7332","0.6350"
"","0.7140","0.6664","22.8900","0.6406"
"","0.7180","0.6704","23.0363","0.6446"
"","0.7220","0.6744","23.1817","0.6483"
"","0.7260","0.6784","23.3178","0.6516"
"","0.7300","0.6824","23.4577","0.6548"
"","0.7340","0.6864","23.5895","0.6578"
"","0.7380","0.6904","23.7222","0.6606"
"","0.7420","0.6944","23.8633","0.6633"
"","0.7460","0.6984","24.0054","0.6657"
"","0.7500","0.7024","24.1359","0.6679"
"","0.7540","0.7064","24.2724","0.6700"
"","0.7580","0.7104","24.4091","0.6718"
"","0.7620","0.7144","24.5501","0.6735"
"","0.7660","0.7184","24.6931","0.6752"
"","0.7710","0.7234","24.8218","0.6774"
"","0.7780","0.7304","24.9612","0.6802"
"","0.7840","0.7364","25.0869","0.6826"
"","0.7900","0.7424","25.2384","0.6853"
"","0.7950","0.7473","25.3946","0.6880"
"","0.7990","0.7513","25.5201","0.6904"
"","0.8040","0.7563","25.6641","0.6937"
"","0.8090","0.7613","25.8172","0.6969"
"","0.8140","0.7663","25.9684","0.7000"
"","0.8190","0.7713","26.1146","0.7029"
"","0.8230","0.7753","26.2426","0.7054"
"","0.8270","0.7793","26.3704","0.7081"
"","0.8310","0.7833","26.4962","0.7109"
"","0.8350","0.7873","26.6241","0.7138"
"","0.8400","0.7923","26.7712","0.7175"
"","0.8450","0.7973","26.9160","0.7213"
"","0.8500","0.8023","27.0612","0.7250"
"","0.8550","0.8073","27.2022","0.7288"
"","0.8600","0.8123","27.3330","0.7326"
"","0.8650","0.8173","27.4683","0.7364"
"","0.8700","0.8223","27.6221","0.7403"
"","0.8750","0.8273","27.7709","0.7442"
"","0.8800","0.8323","27.9059","0.7482"
"","0.8860","0.8383","28.0512","0.7529"
"","0.8910","0.8433","28.1896","0.7569"
"","0.8960","0.8483","28.3306","0.7609"
"","0.9010","0.8533","28.4705","0.7648"
"","0.9050","0.8573","28.6004","0.7679"
"","0.9090","0.8613","28.7336","0.7710"
"","0.9130","0.8653","28.8827","0.7741"
"","0.9170","0.8693","29.0298","0.7772"
"","0.9210","0.8733","29.1694","0.7805"
"","0.9250","0.8773","29.2984","0.7838"
"","0.9300","0.8824","29.4478","0.7882"
"","0.9350","0.8874","29.5867","0.7928"
"","0.9400","0.8924","29.7267","0.7975"
"","0.9450","0.8974","29.8670","0.8023"
"","0.9500","0.9024","29.9932","0.8076"
"","0.9560","0.9084","30.1413","0.8152"
"","0.9610","0.9134","30.2667","0.8225"
"","0.9660","0.9183","30.4079","0.8302"
"","0.9710","0.9233","30.5528","0.8378"
"","0.9750","0.9273","30.6797","0.8441"
"","0.9800","0.9323","30.8295","0.8522"
"","0.9840","0.9363","30.9618","0.8588"
"","0.9880","0.9403","31.1007","0.8660"
"","0.9920","0.9443","31.2445","0.8742"
"","0.9960","0.9483","31.3927","0.8828"
"","1.0000","0.9523","31.5249","0.8913"
"","1.0050","0.9573","31.6754","0.9012"
"","1.0100","0.9623","31.8164","0.9097"
"","1.0150","0.9673","31.9567","0.9176"
"","1.0200","0.9723","32.0842","0.9248"
"","1.0260","0.9783","32.2346","0.9328"
"","1.0310","0.9833","32.3711","0.9388"
"","1.0360","0.9883","32.5150","0.9443"
"","1.0410","0.9933","32.6529","0.9494"
"","1.0460","0.9983","32.7883","0.9544"
"","1.0510","1.0033","32.9406","0.9596"
"","1.0550","1.0073","33.0799","0.9638"
"","1.0590","1.0113","33.2112","0.9680"
"","1.0630","1.0153","33.3395","0.9722"
"","1.0680","1.0203","33.4925","0.9774"
"","1.0720","1.0243","33.6177","0.9813"
"","1.0770","1.0293","33.7613","0.9858"
"","1.0820","1.0342","33.8885","0.9900"
"","1.0870","1.0392","34.0204","0.9938"
"","1.0920","1.0442","34.1618","0.9973"
"","1.0970","1.0492","34.2986","1.0004"
"","1.1020","1.0542","34.4442","1.0032"
